,Time,Source,Destination,Protocol,Length,Info,Label
9278,21.589409,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c3)",attack
9279,21.598897,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c5)",attack
9280,21.623903,10.0.0.45,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9281,21.635935,10.0.0.116,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c5)",attack
9282,21.645213,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00c3)",attack
9283,21.658692,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c4)",attack
9284,21.665234,10.0.0.32,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9285,21.691231,10.0.0.109,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c6)",attack
9286,21.706225,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c6)",attack
9287,21.722675,10.0.0.111,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00c8)",attack
9288,21.727838,10.0.0.102,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00ca)",attack
9289,21.732772,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c5)",attack
9290,21.742436,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00c5)",attack
9291,21.762648,10.0.0.105,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c1)",attack
9292,21.773657,10.0.0.12,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9293,21.78062,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00c7)",attack
9294,21.805236,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c6)",attack
9295,21.814079,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00c6)",attack
9296,21.819157,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c8)",attack
9297,21.828145,10.0.0.104,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=00c6)",attack
9298,21.856402,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c8)",attack
9299,21.861582,10.0.0.117,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c8)",attack
9300,21.867071,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c7)",attack
9301,21.879948,10.0.0.8,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9302,21.891485,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c6)",attack
9303,21.904769,10.0.0.104,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c8)",attack
9304,21.919361,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c5)",attack
9305,21.924628,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c8)",attack
9306,21.9343,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c9)",attack
9307,21.949571,10.0.0.111,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00cb)",attack
9308,21.96296,10.0.0.110,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c8)",attack
9309,21.974283,10.0.0.25,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9310,21.979215,10.0.0.109,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c9)",attack
9311,21.985814,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00c7)",attack
9312,21.990786,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c8)",attack
9313,21.999695,10.0.0.109,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c9)",attack
9314,22.004773,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00ca)",attack
9315,22.020464,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00ca)",attack
9316,22.02768,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c9)",attack
9317,22.037295,10.0.0.116,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00c9)",attack
9318,22.046226,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00c7)",attack
9319,22.059709,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00c8)",attack
9320,22.066353,10.0.0.70,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9321,22.073392,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00c9)",attack
9322,22.078768,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00c9)",attack
9323,22.091107,10.0.0.29,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9324,22.099986,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00c9)",attack
9325,22.109045,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00cb)",attack
9326,22.11861,10.0.0.103,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00ca)",attack
9327,22.127917,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00c8)",attack
9328,22.136787,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00ca)",attack
